local;oaci;iata;tipo;denominacion;coordenadas;latitud;longitud;elev;uom_elev;ref;distancia_ref;direccion_ref;condicion;control;region;fir;uso;trafico;sna;concesionado;provincia;inhab
ACB;;;Aeródromo;"CORONEL BOGADO/AGROSERVICIOS";"33°16'20""S  60°34'14""W";-60.57066000;-33.27226000;44.00;Metros;"Coronel Bogado";6.0;NE;PRIVADO;NOCONTROL;RACE;SAEF;AEROAPP;Nacional;NO;NO;"SANTA FÉ";NO
ACH;;;Aeródromo;"GENERAL ACHA";"37°24' 6""S  64°36'49""W";-64.61351000;-37.40164000;277.00;Metros;"General Acha";3.0;SO;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"LA PAMPA";NO
ACM;;;Aeródromo;"ARRECIFES/LA CURA MALAL";"34° 4'33""S  60° 8'30""W";-60.14170000;-34.07574000;37.00;Metros;Arrecifes;4.0;OSO;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
ADO;SAWD;PUD;Aeródromo;"PUERTO DESEADO";"47°44' 6""S  65°54'15""W";-65.90410000;-47.73511000;82.00;Metros;"Puerto Deseado";2.0;N;PUBLICO;AERADIO;RASU;SAVF;CIVIL;Nacional;NO;NO;"SANTA CRUZ";NO
ADT;;;Aeródromo;"BANDERA/AGROSERVICIOS DOÑA TERESA";"28°51'19""S  62°15'53""W";-62.26462000;-28.85541000;75.00;Metros;Bandera;4.0;N;PRIVADO;NOCONTROL;RANO;SACF;AEROAPP;Nacional;NO;NO;"SANTIAGO DEL ESTERO";NO
ADU;;;Aeródromo;BANDERA/DUTTO;"28°52' 1""S  62°14'17""W";-62.23812000;-28.86691000;87.00;Metros;Bandera;3.0;NE;PRIVADO;NOCONTROL;RANO;SACF;AEROAPP;Nacional;NO;NO;"SANTIAGO DEL ESTERO";NO
AER;SABE;AEP;Aeródromo;"BUENOS AIRES/AEROPARQUE J. NEWBERY";"34°33'32""S  58°24'59""W";-58.41638889;-34.55888889;5.60;Metros;"Ciudad de Buenos Aires";2.0;NE;PUBLICO;CONTROL;RACE;SAEF;JOINT;Internacional;SI;SI;"CIUDAD AUTÓNOMA DE BUENOS AIRES";NO
AGI;SAVA;;Aeródromo;"PIEDRA DEL ÁGUILA";"40°11'32""S  70° 0'39""W";-70.01075000;-40.19232000;649.00;Metros;"Piedra del Águila";17.0;SSE;PRIVADO;NOCONTROL;RACE;SAEF;;Nacional;NO;NO;NEUQUÉN;NO
AGR;;;Aeródromo;"ALTA GRACIA";"31°39' 4""S  64°23'38""W";-64.39388889;-31.65111111;533.00;Metros;"Alta Gracia";2.0;E;PUBLICO;NOCONTROL;RANO;SACF;CIVIL;Nacional;NO;NO;CÓRDOBA;NO
AII;;;Aeródromo;"CHACABUCO/LAS DOS A";"34°48'40""S  60°30'60""W";-60.51661000;-34.81116000;60.00;Metros;Chacabuco;20.0;SSO;PRIVADO;NOCONTROL;RACE;SAEF;AEROAPP;Nacional;NO;NO;"BUENOS AIRES";NO
AJA;;;Aeródromo;"LA LAJA";"31°21' 5""S  68°28'23""W";-68.47305556;-31.35138889;650.00;Metros;"La Laja";1.0;SSE;PRIVADO;NOCONTROL;RANO;SAMF;CIVIL;Nacional;NO;NO;"SAN JUAN";NO
ALC;;;Aeródromo;"AMEGHINO/LA CHACRA";"34°48'34""S  62°31'23""W";-62.52293000;-34.80942000;109.00;Metros;"Florentino Ameghino";7.0;NO;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
ALL;;;Aeródromo;ALLEN;"38°57'30""S  67°48'10""W";-67.80277778;-38.95833333;290.00;Metros;Allen;3.5;E;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"RÍO NEGRO";NO
ALR;;;Aeródromo;"ALEJANDRO ROCA";"33°20'55""S  63°43'48""W";-63.73000000;-33.34861111;210.00;Metros;"Alejandro Roca";1.5;SO;PRIVADO;NOCONTROL;RANO;SACF;CIVIL;Nacional;NO;NO;CÓRDOBA;NO
ALT;;;Aeródromo;"CRUZ ALTA";"33° 0'28""S  61°50'13""W";-61.83694444;-33.00777778;97.00;Metros;"Cruz Alta";2.0;O;PUBLICO;NOCONTROL;RACE;SACF;CIVIL;Nacional;NO;NO;CÓRDOBA;NO
ALV;;;Aeródromo;"ALVEAR/AGROALVEAR SRL";"33° 4' 7""S  60°40' 1""W";-60.66682000;-33.06853000;32.00;Metros;Alvear;4.5;O;PRIVADO;NOCONTROL;RACE;SAEF;AEROAPP;Nacional;NO;NO;"SANTA FÉ";NO
AMA;;;Aeródromo;"ROBERTS/LA AMALIA";"35° 6' 2""S  62° 0'60""W";-62.01657000;-35.10043000;100.00;Metros;Roberts;6.5;NO;PRIVADO;NOCONTROL;RACE;SAEF;AEROAPP;Nacional;NO;NO;"BUENOS AIRES";NO
AME;;;Aeródromo;"AMEGHINO/SIGFRIDO ROHR";"34°49'50""S  62°28' 4""W";-62.46787000;-34.83057000;110.00;Metros;"Florentino Ameghino";2.0;N;PRIVADO;NOCONTROL;RACE;SAEF;AEROAPP;Nacional;NO;NO;"BUENOS AIRES";NO
AMG;;;Aeródromo;AMEGHINO;"34°50'43""S  62°28'58""W";-62.48266000;-34.84541000;110.00;Metros;"Florentino Ameghino";2.5;ONO;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
ANA;;;Aeródromo;PARANÁ/AEROCLUB;"31°45'28""S  60°22'26""W";-60.37388889;-31.75777778;60.00;Metros;"La Picada";15.0;ESE;PUBLICO;NOCONTROL;RACE;SAEF;;Nacional;NO;NO;"ENTRE RÍOS";NO
AND;;;Aeródromo;ANDALGALÁ;"27°37'41""S  66°20'34""W";-66.34277778;-27.62805556;900.00;Metros;Andalgalá;1.0;O;PRIVADO;NOCONTROL;RANO;SACF;CIVIL;Nacional;NO;NO;CATAMARCA;NO
APO;;;Aeródromo;APÓSTOLES;"27°54'12""S  55°45'56""W";-55.76555556;-27.90333333;117.00;Metros;Apóstoles;1.6;NO;PRIVADO;NOCONTROL;RANE;SARR;CIVIL;Nacional;NO;NO;MISIONES;NO
